A,0,0,0,3,8,00
B,0,0,0,3,8,00
A,0,0,0,6,1,00
B,0,0,0,6,1,00
A,0,0,0,8,10,00
B,0,0,0,8,10,00
A,0,0,0,11,10,00
B,0,0,0,11,10,00
A,0,0,0,12,3,00
B,0,0,0,12,3,00
A,0,0,0,21,2,00
B,0,0,0,21,2,00
A,0,0,0,30,6,00
B,0,0,0,30,6,00
A,0,0,0,36,6,00
B,0,0,0,36,6,00
A,0,0,0,37,2,00
B,0,0,0,37,2,00
A,0,0,0,42,5,00
B,0,0,0,42,5,00
A,0,0,0,43,5,00
B,0,0,0,43,5,00
A,0,0,0,45,5,00
B,0,0,0,45,5,00
A,0,1,0,3,6,00
B,0,1,0,3,6,00
A,0,1,0,6,7,00
B,0,1,0,6,7,00
A,0,1,0,9,9,00
B,0,1,0,9,9,00
A,0,1,0,16,8,00
B,0,1,0,16,8,00
A,0,1,0,21,9,00
B,0,1,0,21,9,00
A,0,1,0,28,9,00
B,0,1,0,28,9,00
A,0,1,0,32,1,00
B,0,1,0,32,1,00
A,0,1,0,33,2,00
B,0,1,0,33,2,00
A,0,1,0,41,3,00
B,0,1,0,41,3,00
A,0,1,0,42,3,00
B,0,1,0,42,3,00
A,0,0,1,1,10,00
B,0,0,1,1,10,00
A,0,0,1,14,6,00
B,0,0,1,14,6,00
A,0,0,1,18,9,00
B,0,0,1,18,9,00
A,0,0,1,19,8,00
B,0,0,1,19,8,00
A,0,0,1,20,5,00
B,0,0,1,20,5,00
A,0,0,1,24,4,00
B,0,0,1,24,4,00
A,0,0,1,25,9,00
B,0,0,1,25,9,00
A,0,0,1,37,5,00
B,0,0,1,37,5,00
A,0,0,1,46,6,00
B,0,0,1,46,6,00
A,0,1,1,10,5,00
B,0,1,1,10,5,00
A,0,1,1,16,9,00
B,0,1,1,16,9,00
A,0,1,1,24,8,00
B,0,1,1,24,8,00
A,0,1,1,34,4,00
B,0,1,1,34,4,00
A,0,1,1,41,6,00
B,0,1,1,41,6,00
A,0,1,1,44,3,00
B,0,1,1,44,3,00
A,0,0,2,0,5,00
B,0,0,2,0,5,00
A,0,0,2,2,8,00
B,0,0,2,2,8,00
A,0,0,2,3,3,00
B,0,0,2,3,3,00
A,0,0,2,6,9,00
B,0,0,2,6,9,00
A,0,0,2,9,6,00
B,0,0,2,9,6,00
A,0,0,2,11,4,00
B,0,0,2,11,4,00
A,0,0,2,16,6,00
B,0,0,2,16,6,00
A,0,0,2,18,6,00
B,0,0,2,18,6,00
A,0,0,2,19,2,00
B,0,0,2,19,2,00
A,0,0,2,30,2,00
B,0,0,2,30,2,00
A,0,0,2,33,0,00
B,0,0,2,33,0,00
A,0,0,2,41,9,00
B,0,0,2,41,9,00
A,0,0,2,42,10,00
B,0,0,2,42,10,00
A,0,0,2,47,5,00
B,0,0,2,47,5,00
A,0,0,2,49,1,00
B,0,0,2,49,1,00
A,0,1,2,0,3,00
B,0,1,2,0,3,00
A,0,1,2,6,7,00
B,0,1,2,6,7,00
A,0,1,2,15,1,00
B,0,1,2,15,1,00
A,0,1,2,19,6,00
B,0,1,2,19,6,00
A,0,1,2,20,9,00
B,0,1,2,20,9,00
A,0,1,2,24,1,00
B,0,1,2,24,1,00
A,0,1,2,28,5,00
B,0,1,2,28,5,00
A,0,1,2,31,2,00
B,0,1,2,31,2,00
A,0,1,2,32,8,00
B,0,1,2,32,8,00
A,0,1,2,35,3,00
B,0,1,2,35,3,00
A,0,1,2,40,5,00
B,0,1,2,40,5,00
A,0,0,3,1,3,00
B,0,0,3,1,3,00
A,0,0,3,6,2,00
B,0,0,3,6,2,00
A,0,0,3,13,4,00
B,0,0,3,13,4,00
A,0,0,3,21,6,00
B,0,0,3,21,6,00
A,0,0,3,24,9,00
B,0,0,3,24,9,00
A,0,0,3,32,10,00
B,0,0,3,32,10,00
A,0,0,3,36,8,00
B,0,0,3,36,8,00
A,0,0,3,48,9,00
B,0,0,3,48,9,00
A,0,1,3,3,7,00
B,0,1,3,3,7,00
A,0,1,3,7,8,00
B,0,1,3,7,8,00
A,0,1,3,11,3,00
B,0,1,3,11,3,00
A,0,1,3,15,4,00
B,0,1,3,15,4,00
A,0,1,3,17,9,00
B,0,1,3,17,9,00
A,0,1,3,23,6,00
